,소재지도로명주소,위도,경도,시도,시군구,기타,아침,점심,저녁,월,화,수,목,금,토,일,노인만 대상,운영시작,운영종료년도,폐업,급식일
180,서울특별시 중구 중림로 8길 12,37.5576331215,126.9668709272,서울특별시,중구,중림로 8길 12,0,1,0,0,0,0,0,0,0,0,1,2005,0,운영,0
181,경상북도 고령군 대가야읍 연조길39,35.72961897,128.2643356,경상북도,고령군,대가야읍 연조길39,0,1,0,0,0,0,1,0,0,0,1,2015,0,운영,1
182,전라북도 전주시 완산구 평화14길 27-53,35.7914469,127.1340612,전라북도,전주시,완산구 평화14길 27-53,0,1,0,1,1,1,1,1,1,0,1,2009,2019,폐업,6
183,전라북도 전주시 완산구 덕적골 2길 25,35.79561529,127.1418562,전라북도,전주시,완산구 덕적골 2길 25,0,1,0,1,1,1,1,1,0,0,1,2015,2019,폐업,5
184,전라북도 전주시 완산구 공북로 101,35.8266368,127.1430267,전라북도,전주시,완산구 공북로 101,0,1,0,1,1,1,1,1,0,0,1,2015,2019,폐업,5
185,전라북도 전주시 완산구 덕적골 2길 10,35.79773002,127.1400102,전라북도,전주시,완산구 덕적골 2길 10,0,1,0,1,1,1,1,1,0,0,1,2001,2019,폐업,5
186,전라북도 전주시 완산구 관선1길 60,35.8190195,127.1572491,전라북도,전주시,완산구 관선1길 60,0,1,0,1,1,1,1,1,0,0,1,2016,2019,폐업,5
187,서울특별시 중랑구 용마공원로 5가길 69-6,37.5914735362,127.1033408160,서울특별시,중랑구,용마공원로 5가길 69-6,0,1,0,1,0,0,0,1,0,0,1,1999,0,운영,2
188,서울특별시 중랑구 동일로 139길 10,37.6036309041,127.0783755025,서울특별시,중랑구,동일로 139길 10,0,1,0,1,0,1,0,0,1,0,1,1996,0,운영,3
189,서울특별시 중랑구 송림길 91,37.6040375730,127.1026288839,서울특별시,중랑구,송림길 91,0,1,0,1,0,0,0,1,0,0,1,1996,0,운영,2
190,서울특별시 중랑구 면목로 29길 37,37.5756316110,127.0837120113,서울특별시,중랑구,면목로 29길 37,0,1,0,1,0,0,0,0,1,0,1,2017,0,운영,2
191,경기도 군포시 번영로 331-1,37.3455934,126.9230988,경기도,군포시,번영로 331-1,0,1,0,1,1,1,1,1,0,0,0,1998,0,운영,5
192,부산광역시 사하구 다대로 300번길 9,35.0750860963,128.9763297071,부산광역시,사하구,다대로 300번길 9,0,1,0,1,1,1,1,1,0,0,1,2020,2020,폐업,5
193,부산광역시 사하구 사리로 35(괴정동),35.1030338813,128.9987385804,부산광역시,사하구,사리로 35(괴정동),0,1,0,1,1,1,1,1,0,0,1,2020,2020,폐업,5
194,부산광역시 사하구 감내2로 21(감천동),35.0944651263,129.0077002100,부산광역시,사하구,감내2로 21(감천동),0,1,0,1,1,1,1,1,0,0,1,2020,2020,폐업,5
195,부산광역시 사하구 다대낙조2길 17(다대동),35.0512282948,128.9635507061,부산광역시,사하구,다대낙조2길 17(다대동),0,1,0,1,1,1,1,1,0,0,1,2020,2020,폐업,5
196,부산광역시 사하구 다송로 59(다대동),35.0627453869,128.9854756549,부산광역시,사하구,다송로 59(다대동),0,1,0,1,1,1,1,1,0,0,1,2020,2020,폐업,5
197,부산광역시 사하구 다대로 440(다대동),35.0637697263,128.9792660857,부산광역시,사하구,다대로 440(다대동),0,1,0,1,1,1,1,1,0,0,1,2020,2020,폐업,5
198,서울특별시 강서구 공항대로 43길 104,37.5607979388,126.8508314176,서울특별시,강서구,공항대로 43길 104,0,1,0,1,1,1,1,1,0,0,1,1995,0,운영,5
199,서울특별시 강서구 공항대로 39길59,37.5622580723,126.8428966029,서울특별시,강서구,공항대로 39길59,0,1,0,1,1,1,1,1,0,0,1,1995,0,운영,5
200,서울특별시 강서구 강서로 68길 36,37.5653854747,126.8422561810,서울특별시,강서구,강서로 68길 36,0,1,0,1,1,1,1,1,0,0,1,1994,0,운영,5
201,전라남도 나주시 왕곡면 본양길 65-54,34.9690472583,126.668411,전라남도,나주시,왕곡면 본양길 65-54,0,1,0,1,1,1,1,1,0,0,1,2019,2019,폐업,5
202,충청남도 청양군 청양읍 중앙로12길 43,36.452931,126.807991,충청남도,청양군,청양읍 중앙로12길 43,0,1,0,0,0,0,0,0,1,0,1,0,0,운영,1
203,대전광역시 대덕구 계족로 663번길 34,36.3706044031,127.4247372561,대전광역시,대덕구,계족로 663번길 34,0,1,0,0,0,0,0,0,0,0,1,2020,2021,운영,0
204,대전광역시 대덕구 계족로 664번길 27,36.3709485515,127.4313047395,대전광역시,대덕구,계족로 664번길 27,0,1,0,0,0,0,0,0,0,0,1,2020,2021,운영,0
205,전라남도 구례군 광의면 방광길 46,35.2618846843,127.4634102180,전라남도,구례군,광의면 방광길 46,0,1,0,0,1,0,1,0,0,0,1,0,2020,폐업,2
206,전라남도 구례군 구례읍 구례1길 37,35.2085748240,127.4655759033,전라남도,구례군,구례읍 구례1길 37,0,1,0,0,1,0,1,0,0,0,1,0,2020,폐업,2
207,전라남도 구례군 구례읍 구례로 508,35.2065891440,127.4700144230,전라남도,구례군,구례읍 구례로 508,0,1,0,1,0,1,0,1,0,0,1,2020,2020,폐업,3
208,전라남도 나주시 인동길 25-14,34.938835,126.562135,전라남도,나주시,인동길 25-14,0,1,0,1,1,1,1,1,0,0,1,2019,2019,폐업,5
209,전라남도 나주시 공산면 덕음로 9-8,34.943403,126.608841,전라남도,나주시,공산면 덕음로 9-8,0,1,0,1,1,1,1,1,0,0,1,2019,2019,폐업,5
210,전라남도 나주시 금구길 27,35.031610,126.752698,전라남도,나주시,금구길 27,0,1,0,1,1,1,1,1,0,0,1,2019,2019,폐업,5
211,세종특별자치시 조치원읍 새내10길 96,36.600652,127.3034453624,충청남도,조치원읍,새내10길 96,0,1,0,0,1,1,0,0,1,0,1,2017,2017,폐업,3
212,전라남도 완도군 청산면 청산로 46,34.1797107442,126.8577890642,전라남도,완도군,청산면 청산로 46,0,0,0,0,0,0,0,0,0,0,1,2019,2019,폐업,0
213,전라남도 완도군 약산면 약산로 373-9,34.3942153928,126.8986209127,전라남도,완도군,약산면 약산로 373-9,0,0,0,0,0,0,0,0,0,0,1,2019,2019,폐업,0
214,전라남도 완도군 고금면 고금동로 17-30,34.3973007046,126.8006971517,전라남도,완도군,고금면 고금동로 17-30,0,0,0,0,0,0,0,0,0,0,1,2019,2019,폐업,0
215,전라남도 완도군 신지면 신지로 584,34.3337842131,126.8304012791,전라남도,완도군,신지면 신지로 584,0,0,0,0,0,0,0,0,0,0,1,2019,2019,폐업,0
216,전라남도 완도군 노화읍 이목25번길 18,34.1780193585,126.5700231599,전라남도,완도군,노화읍 이목25번길 18,0,0,0,0,0,0,0,0,0,0,1,2019,2019,폐업,0
217,경기도 고양시 덕양구 중앙로 557번길 7-8,37.6228158155,126.8352115225,경기도,고양시,덕양구 중앙로 557번길 7-8,0,1,0,0,0,1,1,0,0,0,1,1997,0,운영,2
218,경기도 고양시 덕양구 어울림로 49,37.6484925572,126.8368590544,경기도,고양시,덕양구 어울림로 49,0,1,0,1,1,1,1,1,1,0,1,2000,0,운영,6
219,경기도 고양시 덕양구 서정마을2로 13,37.6213830669,126.8471264868,경기도,고양시,덕양구 서정마을2로 13,0,1,0,1,1,1,1,1,0,0,1,2018,0,운영,5
220,경기도 고양시 덕양구 삼원로 102,37.6366835055,126.8728587396,경기도,고양시,덕양구 삼원로 102,0,1,0,1,1,1,1,1,0,0,1,2015,0,운영,5
221,대전광역시 서구 도솔로 75,36.31725715,127.3732995,대전광역시,서구,도솔로 75,0,1,0,1,0,0,1,1,0,0,1,0,0,운영,3
222,대전광역시 서구 도산로219번길 72,36.32946847,127.3772112,대전광역시,서구,도산로219번길 72,0,1,0,1,0,1,0,1,0,0,1,0,0,운영,3
223,경기도 안산시 상록구 고잔로 162 (성포동),37.3184360,126.8443020,경기도,안산시,상록구 고잔로 162 (성포동),0,1,0,1,1,1,1,1,0,0,1,1997,2019,폐업,5
224,경기도 안산시 상록구 이호로 39 (본오1동),37.2874137,126.8612755,경기도,안산시,상록구 이호로 39 (본오1동),0,1,0,1,1,1,1,1,0,0,1,2001,2019,폐업,5
225,경기도 안산시 상록구 성호로 303 (부곡동),37.3302061762,126.8590425135,경기도,안산시,상록구 성호로 303 (부곡동),0,1,0,1,1,1,1,1,0,0,1,2014,2019,폐업,5
226,경기도 안산시 상록구 장화2길 41-1 (사이동),37.2836215193,126.8521625137,경기도,안산시,상록구 장화2길 41-1 (사이동),0,1,0,1,1,1,1,1,0,0,1,2008,2019,폐업,5
227,경기도 안산시 상록구 구룡동길 10 (일동),37.3121429800,126.8690490206,경기도,안산시,상록구 구룡동길 10 (일동),0,1,0,1,1,1,1,1,0,0,1,1997,2019,폐업,5
228,경기도 안산시 상록구 네고지3길 36 (사동),37.2955168290,126.8506034509,경기도,안산시,상록구 네고지3길 36 (사동),0,1,0,1,1,1,1,1,0,0,1,2008,2019,폐업,5
229,"경기도 안산시 상록구 성호로 19길 22, 1층(부곡동)",37.3320516543,126.8622436447,경기도,안산시,"상록구 성호로 19길 22, 1층(부곡동)",0,1,1,1,1,1,1,1,1,0,0,0,0,운영,6
230,경기도 안산시 상록구 갯다리길 7(수암동) 엠제이프라자 301호,37.3624700925,126.8749573667,경기도,안산시,상록구 갯다리길 7(수암동) 엠제이프라자 301호,0,1,1,1,1,1,1,1,1,0,0,0,0,운영,6
231,경기도 안산시 상록구 시곡2길 14(사동) 1층,37.2944196,126.8571258003,경기도,안산시,상록구 시곡2길 14(사동) 1층,0,1,1,1,1,1,1,1,1,0,0,0,0,운영,6
232,전라남도 완도군 소안면 소안로207번길 31-1,,,전라남도,완도군,소안면 소안로207번길 31-1,0,0,0,0,0,0,0,0,0,0,1,2019,2019,폐업,0
233,경기도 고양시 일산동구 호수로 731,37.6644464323,126.7604430869,경기도,고양시,일산동구 호수로 731,0,1,0,1,1,1,1,1,0,0,1,2000,0,운영,5
234,경기도 고양시 일산동구 장백로 61,37.6430516134,126.7856657192,경기도,고양시,일산동구 장백로 61,0,1,0,1,1,1,1,1,1,0,1,1996,0,운영,6
235,"경기도 고양시 덕양구 화신로 234, 304호",37.6305284072,126.8353213759,경기도,고양시,"덕양구 화신로 234, 304호",0,1,0,1,1,1,1,1,0,0,1,2014,0,운영,5
236,경기도 고양시 덕양구 호국로 716번길 13-11,37.6515827389,126.8328634668,경기도,고양시,덕양구 호국로 716번길 13-11,0,1,0,1,1,1,1,1,0,0,1,2000,0,운영,5
237,충청남도 천안시 동남구 천안대로 500,36.7924435551,127.1654262549,충청남도,천안시,동남구 천안대로 500,0,1,0,1,1,1,1,1,0,0,1,2018,2018,폐업,5
238,전라남도 영암군 영암읍 열무정로 21-3,34.799061,126.699096,전라남도,영암군,영암읍 열무정로 21-3,0,1,0,1,0,0,0,1,0,0,1,2019,2019,폐업,2
239,서울특별시 관악구 양녕로 16길 44-9(봉천동 선의관악종합사회복지관),37.4915629,126.945564,서울특별시,관악구,양녕로 16길 44-9(봉천동 선의관악종합사회복지관),0,1,0,1,1,1,1,1,1,0,1,0,0,운영,6
240,서울특별시 관악구 관악로 254(청림동 서울YWCA봉천종합사회복지관),37.4865997,126.957519,서울특별시,관악구,관악로 254(청림동 서울YWCA봉천종합사회복지관),0,1,0,1,1,1,1,1,1,0,1,1993,0,운영,6
241,서울특별시 관악구 대학동 210-4,37.468552,126.944889,서울특별시,관악구,대학동 210-4,0,1,0,1,1,1,1,1,0,0,1,0,0,운영,5
242,서울특별시 관악구 보라매로 35 (관악노인종합복지관),37.492968,126.9263007,서울특별시,관악구,보라매로 35 (관악노인종합복지관),0,1,0,1,1,1,1,1,1,0,1,0,0,운영,6
243,전라남도 완도군 금일읍 금일로 381,34.3493677835,127.0283724165,전라남도,완도군,금일읍 금일로 381,0,0,0,0,0,0,0,0,0,0,1,2019,2019,폐업,0
244,전라남도 완도군 완도읍 청해진남로 38-1,34.3123960653,126.7550076498,전라남도,완도군,완도읍 청해진남로 38-1,0,0,0,0,0,0,0,0,0,0,1,2019,2019,폐업,0
245,서울특별시 중랑구 용마산로94길 98,37.5873987714,127.1018180120,서울특별시,중랑구,용마산로94길 98,0,1,0,1,0,0,0,1,0,0,1,2019,0,운영,2
246,서울특별시 중랑구 용마산로 228,37.5741686561,127.0883018327,서울특별시,중랑구,용마산로 228,0,1,0,1,0,0,0,0,1,0,1,1992,0,운영,2
247,서울특별시 중랑구 겸재로 9길 45,37.5884333365,127.0778432662,서울특별시,중랑구,겸재로 9길 45,0,1,0,1,0,0,0,0,1,0,1,1999,0,운영,2
248,서울특별시 중랑구 신내로 115,37.6092986091,127.0949030704,서울특별시,중랑구,신내로 115,0,1,0,1,0,0,0,1,0,0,1,2017,0,운영,2
249,서울특별시 중랑구 봉화산로 153,37.6058197885,127.0916098823,서울특별시,중랑구,봉화산로 153,0,1,0,1,0,0,0,1,0,0,1,1997,0,운영,2
250,충청남도 청양군 정산면 서정4길 45,36.4163520,126.9476746,충청남도,청양군,정산면 서정4길 45,0,1,0,0,0,0,0,0,0,0,1,0,0,운영,0
251,전라북도 장수군 장계면 백화로 60,35.7309348975,127.5888571538,전라북도,장수군,장계면 백화로 60,0,1,0,0,0,1,0,0,0,0,1,2019,2019,폐업,1
252,전라북도 장수군 번암면 장수로 480,35.5307490248,127.5440240957,전라북도,장수군,번암면 장수로 480,0,1,0,0,0,0,0,1,0,0,1,2019,2019,폐업,1
253,전라북도 장수군 산서면 보산로 1853-3,35.5834057178,127.3961483584,전라북도,장수군,산서면 보산로 1853-3,0,1,0,0,0,0,0,1,0,0,1,2019,2019,폐업,1
254,전라북도 장수군 장수읍 호비로 3-6,35.6465201332,127.5204586468,전라북도,장수군,장수읍 호비로 3-6,0,1,0,0,0,0,0,0,0,0,1,2019,2019,폐업,0
255,전라북도 익산시 서동로11길 37,35.9362334940,126.9589390,전라북도,익산시,서동로11길 37,0,1,0,0,1,0,1,0,0,0,0,2017,2017,폐업,2
256,전라북도 익산시 동천로7길 26-1,35.9321703513,126.9699914129,전라북도,익산시,동천로7길 26-1,0,1,0,0,0,0,0,1,0,0,0,2017,2017,폐업,1
257,전라북도 익산시 익산대로 194-9,35.9433460,126.9490048325,전라북도,익산시,익산대로 194-9,0,1,0,1,1,1,1,1,0,0,0,2017,2017,폐업,5
258,전라북도 익산시 무왕로22길 12,35.9584320,126.9859795320,전라북도,익산시,무왕로22길 12,0,1,0,1,1,1,1,1,1,0,0,2017,2017,폐업,6
259,전라북도 익산시 동서로 103,35.9569279427,126.9456794859,전라북도,익산시,동서로 103,0,1,0,1,1,1,1,1,0,0,0,2017,2017,폐업,5
260,전라북도 완주군 운주면 금고당로 186-13,36.0631038073,127.3061541,전라북도,완주군,운주면 금고당로 186-13,0,1,0,0,1,0,0,1,0,0,1,2017,2017,폐업,2
261,전라북도 완주군 화산면 화산로 830-24,36.0355584371,127.2026913088,전라북도,완주군,화산면 화산로 830-24,0,1,0,0,1,0,0,0,0,0,1,2017,2017,폐업,1
262,전라북도 완주군 봉동읍 낙평장기로 22,35.9344421,127.1652950,전라북도,완주군,봉동읍 낙평장기로 22,0,1,0,0,1,1,0,0,0,0,1,2017,2017,폐업,2
263,대구광역시 달서구 신당로 55(신당동),35.8538435,128.497451,대구광역시,달서구,신당로 55(신당동),0,1,0,1,1,1,1,1,0,0,1,0,0,운영,5
